ID,Accel_X_1,Accel_Y_1,Accel_Z_1,Accel_X_2,Accel_Y_2,Accel_Z_2,Accel_X_3,Accel_Y_3,Accel_Z_3,Accel_X_4,Accel_Y_4,Accel_Z_4,Accel_X_5,Accel_Y_5,Accel_Z_5,Accel_X_6,Accel_Y_6,Accel_Z_6,Accel_X_7,Accel_Y_7,Accel_Z_7,Accel_X_8,Accel_Y_8,Accel_Z_8,Accel_X_9,Accel_Y_9,Accel_Z_9,Accel_X_10,Accel_Y_10,Accel_Z_10,Accel_X_11,Accel_Y_11,Accel_Z_11,Accel_X_12,Accel_Y_12,Accel_Z_12,Accel_X_13,Accel_Y_13,Accel_Z_13,Accel_X_14,Accel_Y_14,Accel_Z_14,Accel_X_15,Accel_Y_15,Accel_Z_15,Accel_X_16,Accel_Y_16,Accel_Z_16,Accel_X_17,Accel_Y_17,Accel_Z_17,Accel_X_18,Accel_Y_18,Accel_Z_18,Accel_X_19,Accel_Y_19,Accel_Z_19,Accel_X_20,Accel_Y_20,Accel_Z_20,Accel_X_21,Accel_Y_21,Accel_Z_21,Accel_X_22,Accel_Y_22,Accel_Z_22,Accel_X_23,Accel_Y_23,Accel_Z_23,Accel_X_24,Accel_Y_24,Accel_Z_24,Accel_X_25,Accel_Y_25,Accel_Z_25,Accel_X_26,Accel_Y_26,Accel_Z_26,Accel_X_27,Accel_Y_27,Accel_Z_27,Accel_X_28,Accel_Y_28,Accel_Z_28,Accel_X_29,Accel_Y_29,Accel_Z_29,Accel_X_30,Accel_Y_30,Accel_Z_30,Accel_X_31,Accel_Y_31,Accel_Z_31,Accel_X_32,Accel_Y_32,Accel_Z_32,Accel_X_33,Accel_Y_33,Accel_Z_33,Accel_X_34,Accel_Y_34,Accel_Z_34,Accel_X_35,Accel_Y_35,Accel_Z_35,Accel_X_36,Accel_Y_36,Accel_Z_36,Accel_X_37,Accel_Y_37,Accel_Z_37,Accel_X_38,Accel_Y_38,Accel_Z_38,Accel_X_39,Accel_Y_39,Accel_Z_39,Accel_X_40,Accel_Y_40,Accel_Z_40,Accel_X_41,Accel_Y_41,Accel_Z_41,Accel_X_42,Accel_Y_42,Accel_Z_42,Accel_X_43,Accel_Y_43,Accel_Z_43,Accel_X_44,Accel_Y_44,Accel_Z_44,Accel_X_45,Accel_Y_45,Accel_Z_45,Accel_X_46,Accel_Y_46,Accel_Z_46,Accel_X_47,Accel_Y_47,Accel_Z_47,Accel_X_48,Accel_Y_48,Accel_Z_48,Accel_X_49,Accel_Y_49,Accel_Z_49,Accel_X_50,Accel_Y_50,Accel_Z_50,Activity_Label
1491448215384.0,0.8762778,6.1004257,7.795521,0.7613561,5.631162,9.734824,2.2122424,3.8977604,11.803414,1.9009962,4.3143516,9.14585,1.1444284,4.7884035,8.303091,0.33997664,4.687847,5.2959743,5.5976434,2.0111294,3.8833952,3.4955344,1.1061212,3.5817258,6.5265937,-0.29209262,2.8778305,13.603854,-1.0103531,9.844957,14.676456,1.0295067,8.058883,13.953407,2.1691468,8.1881695,13.642161,0.6368576,8.532935,13.393165,-0.46926352,0.9720459,9.792285,-3.5051112,2.3558946,7.2544312,-3.2561142,1.2066777,4.7644615,-2.0685902,-0.17238252,4.8458643,-2.1260512,0.320823,9.730036,-3.0597897,1.4077905,13.048399,-2.1452048,1.9249382,9.835381,-0.15801731,0.5267244,9.835381,1.70946,3.2992098,14.96376,1.4508862,4.2521024,20.532673,-3.8019924,3.3039982,13.450625,-4.6830587,2.6910827,9.3661175,-2.9400797,2.834735,9.294291,-5.391742,2.633622,1.9680338,-3.2944214,-1.9488802,5.142745,-1.7238252,0.15322891,12.521675,-2.4899697,0.50757074,10.127473,-1.4077905,-0.37828386,13.881581,0.7134721,4.2425256,13.125013,2.384625,1.2162545,17.238253,0.4405331,4.146757,17.00841,-2.3654714,5.00867,10.055647,-2.6623523,1.9057846,8.643068,-4.1659107,2.4899697,6.564901,-4.0078936,0.4261679,5.6551046,-2.657564,-0.7038953,9.969456,-2.9400797,-2.5234885,12.435484,-0.770933,2.2649148,11.597513,-0.21547815,2.7006595,14.475344,-1.043872,1.6711528,11.099519,-3.3087866,1.5179238,5.746084,-3.940856,2.585738,11.362882,-1.4939818,2.6623523,4.687847,-0.1388637,9.251195,3.0550013,1.2018893,6.540959,4.88896,1.163582,6.5984197,5.257667,0.7565677,3.7110126,0
1491448230653.0,2.777274,3.8067808,7.9966335,-0.023942016,4.036624,8.312668,0.8379706,3.5529952,6.5984197,1.067814,1.8435353,4.247314,10.160992,-2.858677,7.8050976,15.361198,-4.3478703,3.7828386,8.810662,-2.1691468,1.0534488,7.6949644,-2.327164,1.6232687,9.624691,-3.0071173,3.5051112,11.463438,-2.6527755,7.575254,10.184934,-4.644751,4.620809,4.4484267,-4.525041,2.1164744,8.6813755,-6.1195793,1.1061212,12.363658,-2.8203697,4.951209,9.701305,-1.661576,3.2704794,9.174581,-1.8291701,3.490746,15.509639,-2.3989902,5.827487,13.488933,-4.060566,1.0726024,7.848193,-6.6367273,4.381389,5.5497594,-4.8602295,0.8810662,9.121908,-3.1986535,3.5051112,9.385271,-1.3120226,-0.7374141,12.320562,-1.2114661,2.8538885,15.638926,-1.0534488,1.4269443,14.480132,-3.122039,2.719813,9.414001,-5.33907,4.841076,6.6750345,-4.3287168,1.3455414,6.2632318,-2.791639,2.825158,11.506534,-1.5370775,-1.1444284,10.85531,-0.8475474,1.8866309,11.836933,-1.2210429,3.217807,13.01488,-0.37349546,5.032612,11.903971,-3.7828386,2.6719291,5.741296,-4.4580035,3.572149,5.5976434,-3.6966474,1.9440918,11.238382,-3.596091,3.5338416,12.890382,-2.1404164,3.3375173,10.520123,0.033518825,1.6232687,15.164873,-1.2593501,4.8937483,12.751518,-4.175488,5.133168,8.39886,-4.4005427,0.40222588,3.845088,-2.8874073,3.1124623,8.992621,-4.8267107,0.5746084,14.4609785,-2.327164,2.825158,8.590396,-1.6328455,4.6495395,10.951078,-0.49320555,4.2185836,15.844827,-2.3798366,5.616797,13.460202,-5.1379566,3.3854012,7.6614456,-4.6830587,3.1316159,5.7125654,-3.940856,1.4173675,0
1491448241292.0,1.934515,4.2425256,9.050082,2.2840683,1.5275006,6.167464,0.23463176,3.7110126,5.0134583,1.2306197,2.2840683,5.559336,2.0973208,1.4796166,8.394072,5.1571107,0.7038953,18.674774,5.329493,1.5035586,7.8050976,2.1452048,-1.5179238,4.0557775,12.047623,-7.216124,2.7964275,10.951078,-2.2649148,8.8777,8.475474,-0.4357447,5.90889,6.6175733,0.5267244,8.322245,10.213664,-1.5562311,11.631032,7.311892,-5.1906295,6.631939,4.132392,-5.0613422,4.5537715,5.5976434,-4.1276035,3.892972,9.528923,-2.9017725,10.658986,3.7924154,-0.79008657,8.341399,5.9567738,-0.51235914,8.561666,6.751649,-1.2306197,14.302961,9.653421,-3.8738184,11.626244,4.8123455,-5.291186,5.4204726,4.0222588,-4.414908,4.156334,8.259995,-1.9393034,7.943961,5.616797,-0.78529817,6.6989765,9.14585,1.6472107,10.658986,8.264784,-1.3503298,13.929465,8.159439,-4.582502,12.196063,3.9935284,-3.4572272,3.715801,4.654328,-3.2561142,3.7828386,5.3486466,-3.4715924,10.127473,5.78918,-1.3215994,9.193734,6.789956,-0.45010993,7.3406224,8.312668,-0.6512229,13.704411,10.884041,-3.4141316,12.129025,5.841852,-4.8267107,5.971139,4.7405195,-4.036624,3.8259344,5.765238,-2.1739352,8.887277,6.2871737,-1.6950948,6.253655,6.033388,-0.6751649,10.0508585,8.604761,-0.7038953,16.213533,10.25676,-4.223372,12.449849,4.8841715,-5.3965306,6.3111157,4.865018,-2.7964275,5.377377,5.410896,-2.3702598,6.0621185,7.302315,-1.460463,7.5848308,6.5696893,-0.45489833,8.580819,9.255983,-1.7669208,15.950171,9.787497,-4.1802764,10.783484,5.00867,-5.5401826,7.9248075,0
1491448534180.0,0.47884035,6.3111157,7.2831616,-0.15801731,5.3965306,7.043741,2.0638018,3.940856,3.8738184,12.243947,3.86903,1.9297266,9.581595,-2.4372973,6.4068837,11.295844,-2.2170308,11.027693,11.066,2.327164,10.457873,12.411542,2.9592333,5.9902925,13.680469,-1.9967642,4.256891,9.198523,-2.2457612,1.4891934,4.7548847,-2.3463178,1.7477672,8.724471,-3.6056678,-0.7565677,13.996503,-2.6001031,2.4037786,10.146626,-1.6424223,2.2122424,13.057976,1.0199299,3.5482068,13.713987,-0.45010993,3.8833952,13.163321,-5.5258174,4.084508,5.8705826,-5.779603,2.4612393,6.181829,-5.195418,1.0773908,12.588713,-3.8881836,1.8195933,11.84651,-1.7956513,3.9935284,11.190498,-0.33518824,5.023035,13.713987,1.2306197,6.5936313,15.964537,-5.33907,3.7349546,5.884948,-6.0046577,3.3758245,5.7269306,-4.8937483,0.47405192,10.323798,-4.2042184,3.265691,13.8480625,-3.0214825,0.1436521,10.443508,-1.8722657,8.767567,10.601525,-1.1300632,2.4899697,10.783484,0.7134721,4.8698063,15.155296,0.8379706,7.177817,12.272678,-1.4796166,4.405331,12.5504055,-5.6407394,6.3589997,12.066776,-5.66947,3.7493198,7.2065473,-4.501099,2.4947581,5.1475334,-3.5194764,1.9680338,3.8546648,-3.347094,0.60333884,9.021352,-4.936844,3.7253778,12.291832,-3.2513258,4.477157,14.216769,-2.5234885,5.4300494,9.639056,-2.4372973,4.7644615,8.791509,-1.5131354,3.6248214,10.730812,-0.7230489,3.490746,9.998186,-1.1779473,3.739743,11.712435,-2.5713725,3.2321723,11.650186,-2.5330653,3.2273839,18.660408,-4.3622355,4.0318356,10.582372,-4.841076,5.9280434,5.425261,-1.3790601,7.1490865,1
1491448573325.0,0.019153614,6.7133417,7.9104424,-0.7469909,6.4308257,6.7229185,0.46926352,6.885724,7.005434,-0.32561144,6.2105594,3.394978,1.0726024,1.6903064,1.1923125,14.987702,7.8146744,14.417883,10.13705,5.779603,7.9008656,6.4499793,1.8291701,5.1571107,6.459556,-0.80445176,2.1260512,8.585608,-0.80445176,3.643975,10.146626,-0.92895025,3.394978,11.99495,-0.31124622,1.067814,12.842498,-0.41180268,5.0374002,13.019669,-1.7190368,6.2345014,10.160992,-3.940856,3.3614593,6.3302693,-4.88896,2.2266076,4.501099,-3.1507695,1.5227122,10.927136,-1.5275006,1.3599066,10.012551,-0.59855044,-0.1340753,12.780249,-0.038307227,4.8027687,13.057976,0.21547815,4.5872903,10.055647,-2.585738,1.8339585,6.5936313,-4.3143516,2.585738,6.9048777,-4.7022123,1.532289,11.33894,-2.4995465,1.8339585,10.481815,-1.2162545,2.6431987,10.25676,-0.8714894,4.256891,15.524004,0.6943185,3.8019924,11.798626,-3.3135753,2.456451,6.6606693,-4.036624,2.6767175,8.169016,-4.55856,1.9536686,9.758766,-1.8195933,3.442862,8.250419,-1.2449849,1.3599066,10.5680065,-0.6703765,1.9728222,15.95496,-1.9153614,4.146757,13.019669,-3.371036,4.0797195,8.001422,-3.6535518,3.1747115,7.0724716,-3.8019924,1.70946,5.4061074,-2.0207062,4.7500963,8.327033,-1.7238252,-2.0015526,10.510546,-1.5849615,2.2505496,14.020445,-1.0151415,3.347094,11.688493,-0.8858546,4.8219223,10.745177,-3.4763808,3.3423057,10.381259,-1.5131354,5.185841,2.2697031,2.8921957,4.390966,4.9416323,3.6248214,3.667917,0.93852705,3.1364043,6.167464,-1.0869676,5.659893,9.41879,-1.436521,4.0462008,11.09473,1
1491448633696.0,2.1068976,1.3359646,7.603985,2.0973208,2.231396,9.701305,4.4723687,1.4556746,7.1730285,5.45878,3.4620156,8.662222,2.030283,4.6351743,9.054871,1.4987702,4.477157,22.596476,0.10534488,-3.466804,11.45865,5.932832,-5.281609,-2.5761611,7.326257,2.3080103,28.232426,-6.646304,1.7190368,3.2752678,-1.6424223,4.7309427,17.630901,2.9975405,-1.9440918,0.62728083,5.0517654,-2.5953147,-0.9816227,5.3247046,1.9393034,23.93244,-4.841076,1.091756,2.633622,-4.209007,6.0621185,13.10586,2.0829554,-0.18674773,4.88896,2.8538885,-4.2760444,-1.7381904,2.3511062,-1.8243817,27.178978,-0.48362875,2.7485435,3.596091,-7.249643,2.7964275,6.143522,0.56982,-1.7238252,16.084248,2.681506,-3.8977604,0.8571242,13.421895,2.3989902,10.5680065,2.4277205,4.927267,4.0078936,-9.849746,-0.9528923,0.5410896,10.04607,-3.2848446,44.08683,4.3861775,-3.5003228,-1.9776106,9.255983,-1.7046716,1.2066777,4.146757,5.511452,10.984597,-8.7771435,1.4987702,7.225701,12.579136,5.171476,24.05215,2.1308396,-2.3654714,-0.5506664,6.2392898,-2.255338,-0.35434186,5.2863975,-1.1444284,35.352783,-4.3622355,2.5474305,3.6631286,-1.460463,4.2425256,12.53604,4.3047748,-1.70946,2.480393,3.3518825,-2.695871,-0.15801731,13.541605,-5.755661,25.684996,-0.49799395,4.261679,1.7860745,-0.7086837,1.7238252,2.231396,6.05733,-9.069236,42.487503,2.5713725,-3.8833952,-7.666234,4.9416323,2.2697031,9.878476,6.0477533,5.995081,7.1634517,-5.631162,1.2545617,5.6886234,6.5696893,6.9048777,23.281218,2.6431987,-0.39264908,3.0023289,7.1251445,-2.7629087,-3.1794999,1
1491448644689.0,5.1571107,1.6089035,7.565677,3.41892,1.3790601,8.360553,0.91937345,2.2409728,9.811439,2.5761611,2.7341783,18.607735,7.2544312,-2.432509,18.612524,1.2593501,-2.9783869,-2.801216,15.428236,-3.620033,-3.7780502,-4.4819455,7.0102224,3.0693667,-6.172252,0.48841715,7.7093296,18.92377,3.3662477,34.208355,2.3080103,-5.6215854,-4.3478703,5.386954,-1.3551182,0.9864111,6.555324,6.3350577,3.169923,-8.413225,1.4891934,7.2113357,18.50239,13.196839,25.273193,2.8060043,-3.9264908,-6.339846,8.202535,-4.0892963,-6.6654577,17.832014,3.2034419,24.751257,-5.3821654,1.9393034,2.3127987,-1.5562311,8.001422,21.844696,3.8067808,-2.4037786,1.0965444,6.244078,-4.7884035,-5.0134583,1.9967642,-3.8019924,47.438713,-2.858677,2.8060043,1.9249382,-5.329493,0.90979666,8.264784,7.4746976,-5.9041014,29.60191,5.8322754,-5.78918,-4.9703627,12.727576,-6.1004257,18.756176,0.6943185,1.0965444,6.751649,-5.7029886,2.6719291,5.070919,24.68422,-0.32561144,41.223366,2.4277205,-3.9073372,-3.9121256,7.0102224,-0.9624691,-3.9360676,10.817003,-1.1013328,20.499155,-10.093954,4.462792,4.783615,5.8562174,5.5162406,15.44739,3.8115692,-5.4922986,-5.827487,7.920019,-4.3718123,-9.241618,17.281347,-12.378023,38.968025,-4.3766007,4.012682,4.9703627,-2.5187001,1.7621324,7.5321584,15.203181,-11.219229,18.449718,2.9161377,-5.5641246,-0.6799533,11.262324,-6.397307,-2.2409728,0.22505496,0.30166942,12.464214,-7.053318,2.791639,5.961562,18.899828,-6.8186865,37.612907,0.90500826,-3.7301662,-7.2783732,7.800309,-3.394978,-4.31914,15.935806,-6.2967505,29.309816,1
1491448675741.0,3.3518825,2.183512,8.0445175,-0.56982,4.3766007,5.305551,8.652645,0.20111294,6.50744,6.301539,0.23942018,9.289502,6.9767036,5.5258174,4.146757,39.01591,14.800955,18.890251,3.6535518,-10.395624,4.261679,-8.279149,-19.88624,-2.0111294,57.79603,-35.936966,19.785683,6.5936313,17.750612,7.6231384,19.34515,7.991845,8.403648,12.028469,-19.570204,-2.2457612,-5.2624555,-27.538109,-8.863335,66.04166,-12.938266,22.965183,0.17717093,18.511967,3.5003228,23.429657,4.999093,15.298949,2.542642,-15.931018,-0.37349546,4.960786,-17.654844,-3.596091,54.90383,-7.9487495,24.076092,-11.405977,9.284714,10.692505,32.685642,13.64695,7.1969705,7.120356,-21.317972,0.63206923,-4.510676,-18.933348,-2.7102363,58.835114,-44.163445,44.287945,-0.8523358,12.559982,13.31655,20.66196,13.340492,12.119449,28.09835,-36.190754,13.972561,-18.464083,-25.158272,-6.4978633,31.97217,-25.996243,-10.199299,4.510676,8.255207,-2.528277,20.84392,13.43626,3.241749,44.862553,-27.011383,14.211981,-11.69807,-24.152706,-4.7261543,5.3582234,-16.04594,-23.15193,17.00362,1.5753847,6.0477533,-1.3215994,16.70674,3.4237084,42.238506,-3.7780502,22.869415,3.3135753,-13.125013,0.7565677,-6.3111157,-15.456966,-9.591172,45.963882,-20.551826,18.813637,6.9144545,9.461885,4.390966,15.509639,8.51857,13.268666,40.002323,-20.829556,18.05707,-8.226477,-16.347609,-9.840169,1.9680338,-17.190369,-6.5122285,19.421764,6.967127,3.2034419,-7.785944,10.754754,9.222465,30.885202,3.7493198,31.263485,3.8594532,-6.6510925,-3.2704794,0.61770403,-8.532935,-13.570335,1
1491448687483.0,2.8107927,4.3861775,8.073248,4.855441,0.3878607,8.298303,3.5434184,1.1444284,10.845734,12.445061,12.856863,10.994174,23.549368,3.394978,11.664551,1.2976574,-17.48246,4.534618,14.135366,-25.388115,-1.2258313,10.328587,14.580688,-5.5258174,6.3350577,11.789049,11.453861,46.045288,-15.016433,24.636335,-22.4624,-34.01682,-24.416069,45.997402,-31.124622,-4.4675803,5.3438582,12.919112,8.465898,35.69276,11.257536,26.441563,28.974628,-25.03856,10.299856,-23.831884,-37.512352,-27.705702,67.291435,-11.75553,4.7788267,7.3885064,9.390059,9.121908,22.807165,14.54717,11.947066,36.722267,-24.847025,6.4020953,-19.85751,-43.48349,-2.4372973,71.31848,-27.466282,2.2697031,10.290278,19.780895,8.470686,23.367409,10.7356,12.176909,39.19308,-23.774424,6.3063273,-13.120225,-32.20201,-13.460202,51.609413,-22.97476,-2.3942018,9.533711,10.7116585,7.350199,10.031705,9.988609,10.491392,42.26724,-29.697678,24.674643,-16.620548,-28.060043,2.2888567,15.155296,-12.947843,-16.338032,12.713211,7.5561004,6.3111157,5.0278234,13.613431,1.364695,67.39199,-8.628703,17.764977,-2.384625,-24.966736,-1.1061212,3.9025488,-15.658079,3.763685,29.884426,4.8506527,34.01682,2.4899697,17.87511,12.382812,36.25779,5.109226,16.831238,5.1235914,-21.423317,-6.603208,-5.171476,-13.431472,-11.032481,29.42474,-4.88896,13.862428,4.5777135,5.4922986,3.8786068,14.805743,6.1866174,7.1059904,20.762518,-14.5328045,11.305421,3.86903,-8.307879,0.6464345,-1.5849615,-9.155427,-10.007763,20.489578,1.6903064,19.244593,3.98874,6.0621185,5.056554,1
1491448698991.0,2.4372973,5.080496,6.3111157,2.6767175,3.7205894,6.0956373,-1.7046716,2.7102363,10.156203,26.178202,17.774553,17.142485,-3.0933087,-7.5704656,0.78529817,1.1923125,-19.22544,-6.066907,36.56904,-2.753332,11.113884,0.2681506,11.640609,3.3997664,34.29933,10.390836,7.3406224,10.448297,-21.945253,-1.8100165,-18.492813,-23.434446,-4.5777135,73.86591,2.3175871,17.123331,-7.771579,3.1268275,-2.6431987,9.548077,11.980585,8.293514,8.872911,-17.683575,-6.114791,-14.944607,-23.300371,0.36391866,57.858276,9.634268,18.176779,-11.473015,4.912902,5.305551,27.332207,16.242264,5.1140146,1.0055647,-14.159308,0.81402856,-8.99741,-16.79772,3.2704794,26.532543,10.060435,11.171345,-1.3742718,11.587936,4.223372,30.65536,17.946936,-7.6135616,6.1195793,-20.106506,15.404294,-0.18195933,-28.773516,-0.8571242,38.192307,4.486734,6.019023,-1.2018893,19.211075,6.7708025,37.651215,13.024457,20.403387,7.5848308,-25.27798,0.5315128,-10.424355,-24.53099,8.532935,64.18376,1.7860745,32.23553,-1.0055647,14.671668,15.308526,5.2528787,6.789956,-6.0764837,8.75799,-17.219099,1.0295067,-19.024326,-20.767305,1.1731589,49.210423,-25.924416,-11.554418,6.4787097,5.2049947,2.111686,5.1475334,13.8480625,-2.5905263,71.75423,1.1540052,9.65821,2.1883004,-24.56451,10.261548,-2.9879637,-19.953278,2.6862943,39.3511,10.223241,9.035717,-0.94331545,6.066907,4.4436383,11.032481,10.893618,-1.7238252,13.01488,-6.646304,-2.4181437,-6.4164605,-16.4338,-15.480908,23.654713,-8.441956,7.5800424,8.925584,8.537724,2.2409728,3.394978,10.19451,2.2505496,1
