x1,y1,z1,x2,y2,z2,x3,y3,z3
0.8762778,6.1004257,7.795521,0.47884035,6.3111157,7.2831616,1.9871874,6.05733,4.074931
0.7613561,5.631162,9.734824,-0.15801731,5.3965306,7.043741,-0.8475474,3.490746,4.3766007
2.2122424,3.8977604,11.803414,2.0638018,3.940856,3.8738184,-0.076614454,4.209007,18.05707
1.9009962,4.3143516,9.14585,12.243947,3.86903,1.9297266,0.9624691,3.6774938,15.394717
1.1444284,4.7884035,8.303091,9.581595,-2.4372973,6.4068837,-0.22026655,4.711789,10.85531
0.33997664,4.687847,5.2959743,11.295844,-2.2170308,11.027693,1.7669208,6.1195793,5.66947
5.5976434,2.0111294,3.8833952,11.066,2.327164,10.457873,0.7613561,7.9008656,0.12928689
3.4955344,1.1061212,3.5817258,12.411542,2.9592333,5.9902925,0.5267244,9.289502,-2.8634653
6.5265937,-0.29209262,2.8778305,13.680469,-1.9967642,4.256891,-0.2873042,9.3421755,-0.0047884034
13.603854,-1.0103531,9.844957,9.198523,-2.2457612,1.4891934,0.4261679,9.179369,2.4037786
14.676456,1.0295067,8.058883,4.7548847,-2.3463178,1.7477672,-1.1540052,7.905654,-1.1875241
13.953407,2.1691468,8.1881695,8.724471,-3.6056678,-0.7565677,-1.4030021,4.7740383,6.3206925
13.642161,0.6368576,8.532935,13.996503,-2.6001031,2.4037786,1.4269443,4.4196963,14.4370365
13.393165,-0.46926352,0.9720459,10.146626,-1.6424223,2.2122424,0.31124622,5.5162406,10.984597
9.792285,-3.5051112,2.3558946,13.057976,1.0199299,3.5482068,0.25857377,5.070919,5.463568
7.2544312,-3.2561142,1.2066777,13.713987,-0.45010993,3.8833952,3.064578,5.1379566,8.978256
4.7644615,-2.0685902,-0.17238252,13.163321,-5.5258174,4.084508,2.6048915,5.4300494,8.513782
4.8458643,-2.1260512,0.320823,5.8705826,-5.779603,2.4612393,2.0925324,5.4300494,7.905654
9.730036,-3.0597897,1.4077905,6.181829,-5.195418,1.0773908,2.4372973,5.3725886,7.9391727
13.048399,-2.1452048,1.9249382,12.588713,-3.8881836,1.8195933,2.336741,5.434838,7.85777
9.835381,-0.15801731,0.5267244,11.84651,-1.7956513,3.9935284,2.2601264,5.4444146,8.259995
9.835381,1.70946,3.2992098,11.190498,-0.33518824,5.023035,1.6232687,4.9655743,13.484144
14.96376,1.4508862,4.2521024,13.713987,1.2306197,6.5936313,0.4261679,5.3007627,12.23437
20.532673,-3.8019924,3.3039982,15.964537,-5.33907,3.7349546,-0.20111294,6.0860605,6.9623384
13.450625,-4.6830587,2.6910827,5.884948,-6.0046577,3.3758245,0.7374141,7.4363904,1.7286136
9.3661175,-2.9400797,2.834735,5.7269306,-4.8937483,0.47405192,-0.6991069,8.494628,-0.29688102
9.294291,-5.391742,2.633622,10.323798,-4.2042184,3.265691,-1.2210429,8.944737,-1.9680338
1.9680338,-3.2944214,-1.9488802,13.8480625,-3.0214825,0.1436521,0.33039984,9.734824,-1.6711528
5.142745,-1.7238252,0.15322891,10.443508,-1.8722657,8.767567,-0.25378537,8.887277,1.910573
12.521675,-2.4899697,0.50757074,10.601525,-1.1300632,2.4899697,0.019153614,8.135497,1.5179238
10.127473,-1.4077905,-0.37828386,10.783484,0.7134721,4.8698063,-0.1340753,7.632715,4.003105
13.881581,0.7134721,4.2425256,15.155296,0.8379706,7.177817,3.0262709,6.727707,6.679823
13.125013,2.384625,1.2162545,12.272678,-1.4796166,4.405331,-0.46447513,7.273585,9.270349
17.238253,0.4405331,4.146757,12.5504055,-5.6407394,6.3589997,0.23463176,6.5361705,8.868123
17.00841,-2.3654714,5.00867,12.066776,-5.66947,3.7493198,0.24899697,6.579266,8.5473
10.055647,-2.6623523,1.9057846,7.2065473,-4.501099,2.4947581,0.91458505,6.0238113,7.9822683
8.643068,-4.1659107,2.4899697,5.1475334,-3.5194764,1.9680338,1.7286136,6.033388,7.6470804
6.564901,-4.0078936,0.4261679,3.8546648,-3.347094,0.60333884,1.1300632,5.544971,7.5848308
5.6551046,-2.657564,-0.7038953,9.021352,-4.936844,3.7253778,1.5897499,5.674258,7.9487495
9.969456,-2.9400797,-2.5234885,12.291832,-3.2513258,4.477157,1.8962077,5.746084,8.513782
12.435484,-0.770933,2.2649148,14.216769,-2.5234885,5.4300494,1.5227122,5.7029886,7.8865004
11.597513,-0.21547815,2.7006595,9.639056,-2.4372973,4.7644615,1.5035586,5.60722,8.322245
14.475344,-1.043872,1.6711528,8.791509,-1.5131354,3.6248214,1.5610195,5.6215854,8.202535
11.099519,-3.3087866,1.5179238,10.730812,-0.7230489,3.490746,1.910573,5.683835,8.197746
5.746084,-3.940856,2.585738,9.998186,-1.1779473,3.739743,-0.50757074,5.3821654,12.617443
11.362882,-1.4939818,2.6623523,11.712435,-2.5713725,3.2321723,0.6847417,6.3685765,10.864887
4.687847,-0.1388637,9.251195,11.650186,-2.5330653,3.2273839,-0.6799533,6.8522053,4.5394063
3.0550013,1.2018893,6.540959,18.660408,-4.3622355,4.0318356,-1.0007763,7.52737,3.0071173
4.88896,1.163582,6.5984197,10.582372,-4.841076,5.9280434,-1.0630256,8.508993,2.2170308
5.257667,0.7565677,3.7110126,5.425261,-1.3790601,7.1490865,-1.1779473,9.433155,0.34476504
