x1,y1,z1,x2,y2,z2,x3,y3,z3
"-1.3618927,-0.15838623,9.957535","-3.7929993,4.6511993,8.398605","3.9633484,-2.0570831,7.777664"
"-1.3786316,-0.11051941,9.95993","-4.1435394,4.9526825,7.620941","3.654663,-2.1420288,7.4498596"
"-1.3894043,-0.14402771,9.961121","-1.9780426,4.916794,13.134003","2.8973389,-0.7697449,7.7824554"
"-1.4217072,-0.11172485,9.937195","-0.96946716,6.561859,10.552155","4.5794983,0.30462646,8.255035"
"-1.4073486,-0.102142334,9.956329","-5.369858,7.443619,6.498703","3.1138916,2.401947,7.9667053"
"-1.4061584,-0.13085938,9.940781","-4.1519165,1.7116089,-0.113861084","3.769516,3.3279572,8.255035"
"-1.3905945,-0.13085938,9.977875","-9.834869,4.7768097,-7.0721893","4.311493,3.4440155,7.5479584"
"-1.4037628,-0.10334778,9.969498","-9.863586,16.627274,7.2309113","4.800827,3.3590698,9.834305"
"-1.3953857,-0.13206482,9.977875","-2.11203,7.9401245,1.6257172","0.432724,-2.1695557,7.8075867"
"-1.3882141,-0.10813904,9.953949","3.830536,-0.64411926,0.8707886","-0.54473877,-5.385498,6.4101715"
"-1.4073486,-0.106933594,9.951553","-18.099686,20.580215,14.570892","-2.7090454,-7.2363434,6.247467"
"-1.3894043,-0.12966919,9.974289","-6.298279,1.5046387,-1.2528381","-2.6755524,-7.2495117,6.242676"
"-1.4085388,-0.13085938,9.951553","-1.3235931,-4.411621,-5.0681915","-0.76368713,-6.4766235,7.320648"
"-1.3870087,-0.118896484,9.953949","-12.463394,7.5907745,-12.594818","-1.1955872,-5.648712,7.0969086"
"-1.379837,-0.10334778,10.012573","-8.56308,14.1483,1.5180511","4.4000244,-4.7095337,8.063614"
"-1.404953,-0.1607666,9.964706","3.9525757,1.4651489,3.1236267","-2.5906067,-0.7470093,8.68335"
"-1.4013672,-0.118896484,9.955139","-10.025101,19.923386,17.255646","1.8839722,1.1397247,8.868805"
"-1.3905945,-0.1177063,9.952744","-7.626297,5.0926666,3.2348938","3.2442932,3.0444183,9.105682"
"-1.400177,-0.12846375,9.958725","-4.1842194,1.2617645,3.8953094","2.1962433,2.915207,8.712067"
"-1.4073486,-0.0949707,9.983856","-6.4418488,-0.7733307,-3.5056915","3.859253,3.0838928,8.2921295"
"-1.4037628,-0.123687744,9.983856","-10.058594,12.496063,18.079971","3.4393158,2.8805084,8.561325"
"-1.4360657,-0.12966919,9.968292","3.2909546,1.8982544,8.5385895","3.8006287,2.7740173,8.941772"
"-1.3905945,-0.11051941,9.971893","7.1864777,5.262558,4.5772705","3.5158844,0.32736206,7.763321"
"-1.4025574,-0.09257507,9.9730835","-11.779037,12.241226,31.649673","1.032135,-1.7005615,8.56012"
"-1.400177,-0.11172485,9.951553","-5.8292847,0.55348206,3.638092","2.947586,-2.7390442,8.605591"
"-1.3941956,-0.11172485,9.993423","-6.9957886,0.9483032,0.43051147","1.7810822,-3.0453186,8.738388"
"-1.3630829,-0.106933594,10.006592","-11.637863,8.690277,17.906494","3.1390076,-3.983307,7.2357025"
"-1.4432373,-0.16316223,9.892929","0.47340393,4.067337,8.25145","0.3944397,-4.4379425,7.602997"
